chroma_stft,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
0.27045462,0.06801862,1482.438121195453,2103.139004901694,3062.763589115466,0.051011597369350285,-376.6782,113.67549,35.47438,13.525761,3.9198039,4.7196336,6.231564,3.3273604,-1.4062881,-0.31411323,-3.69686,1.3946388,-4.2377973,-1.4245644,-6.1439376,-0.7711053,-1.3385172,0.6119603,-3.2933958,-2.9950237,addhatrital
0.26797965,0.06794926,1488.773909442767,2096.5695598117704,3084.63134765625,0.051832296080508475,-379.0628,111.06932,33.540356,14.21675,5.8523865,7.6338677,8.188307,3.600904,-1.5553252,-0.48446947,-2.9861,1.8545988,-4.913625,-1.447613,-5.6495895,0.6472939,-1.4150367,-1.9652357,-4.6967716,-5.356092,addhatrital
0.25496095,0.067153275,1506.8565437332395,2121.6470509962896,3149.6122106276557,0.050327549575070823,-377.46826,111.11597,33.957058,14.1836405,5.51974,7.2178407,7.666562,3.919727,-0.5553639,0.5806763,-1.2764724,2.2338407,-5.6328278,-1.0699683,-4.734556,1.9709748,-2.6487262,-4.5171432,-8.828009,-11.81875,addhatrital
0.25063774,0.06588729,1554.1410035972635,2162.8969235531117,3310.6076327237215,0.04848549582741477,-379.5381,109.06194,33.15701,13.53767,6.0023837,8.736432,9.507621,5.3337326,0.7467016,1.4775987,-1.3254552,1.1126174,-6.6538014,-0.87318975,-4.646269,0.9957888,-6.3671694,-8.217486,-12.679643,-15.1521,addhatrital
0.2711732,0.06362546,1619.848730396868,2198.361238523102,3487.860401358888,0.05030818431303116,-381.8865,106.23971,32.1571,13.804676,6.6530595,9.324743,9.404474,5.541813,1.5202528,2.396569,-1.2495916,-0.11880925,-6.158917,0.6595992,-2.7679157,-1.2689229,-11.777034,-13.583262,-15.088269,-11.658197,addhatrital
0.29007405,0.06355534,1634.8400255278145,2207.922857240651,3537.163168697034,0.05267644332627119,-382.58533,104.926575,31.839249,14.848569,7.6526046,10.715398,10.706246,6.7260013,2.6105804,2.283064,-2.0413995,-1.0757084,-5.649148,0.811154,-5.487867,-7.466197,-16.67274,-12.43614,-7.75054,2.2481008,addhatrital
0.23408857,0.07793234,1233.918670212818,1932.1447768588016,2267.470415900735,0.045133873862044815,-368.9887,124.32502,43.2387,17.971867,4.8538704,-1.7112198,-2.3847413,-2.8425195,-3.0183916,0.6641037,-4.7866416,-1.1907439,-7.1029124,-0.59574157,-3.7183917,-0.7689721,-2.7576013,-1.2614269,-7.6897287,-7.9436383,addhatrital
0.25884822,0.047999434,2203.8820146591324,2608.4749393330353,4881.5124727390685,0.08079415580830389,-403.3896,88.572395,36.180717,12.449214,6.065598,5.344824,4.4525976,2.449158,-0.6460953,1.3725253,-0.29511803,3.2185442,-1.640022,2.049428,-1.533845,1.3983884,-3.7554889,-5.1263413,-8.624237,-10.742083,addhatrital
0.24176373,0.07731661,1286.1172165432106,1966.6160031470656,2436.599551930147,0.04623626794467787,-368.91302,123.152145,41.87021,17.086714,3.1386595,-1.9384596,-1.4576011,-0.7681654,-0.16996863,0.9551087,-4.7196593,-0.93326,-6.723655,0.46550095,-3.881968,-0.8389153,-3.9508471,-6.1571307,-10.389865,-6.034106,addhatrital
0.25082034,0.074848615,1366.861176187842,2008.0799065385984,2642.111926132374,0.0496044373244382,-373.18118,118.61946,39.826824,16.753342,2.99899,-0.6335511,0.70995885,2.1088336,1.2517419,0.8428837,-4.214514,0.27926612,-5.102068,1.9753331,-4.658726,-1.8330085,-6.9622507,-10.043822,-8.980336,-2.5124207,addhatrital
0.2572214,0.07115007,1426.2220037308275,2058.3614651600687,2822.066174523305,0.05397025070621469,-374.0513,117.902,39.56961,15.809763,2.3513217,-0.28021067,1.791259,3.0750053,1.9007642,1.0224137,-3.8849933,-0.13560927,-4.394021,1.4311005,-6.13045,-2.8092146,-9.29788,-8.317886,-3.4328969,-0.15196076,addhatrital
0.26969653,0.08293799,1222.7533071973905,1857.2901706687912,2123.076629638672,0.05012173122829861,-361.63922,126.8568,37.635418,12.078477,1.7306712,2.5220454,5.6597824,3.3208838,-3.2686257,-3.3414278,-7.4442105,-1.5370191,-3.123627,-0.15486044,-5.7903695,-4.6328793,-5.900961,0.806485,-0.3572191,-1.8365076,addhatrital
0.2681625,0.08184258,1246.127184561709,1888.0137090808169,2243.016982660061,0.04831092116724739,-361.75034,125.324165,36.197186,12.056236,2.179427,4.343612,7.0832114,4.0781217,-1.953052,-1.9770248,-5.692942,0.64100945,-2.8324835,-0.6281034,-6.9179473,-3.496873,-3.6383367,0.4465711,-2.8627305,-3.9630344,addhatrital
0.28362015,0.079280466,1300.814677245888,1926.4865796708098,2415.5452076981705,0.04854400315766551,-364.79623,122.47012,35.23074,12.900914,3.2431395,5.767328,8.612297,3.9239821,-1.7992915,-1.0818248,-3.7155106,1.9973394,-4.555871,-2.3212817,-7.98412,-2.1284256,-1.2565614,0.3653827,-3.5576606,-3.703508,addhatrital
0.28079993,0.079249084,1350.6076893569432,1953.771546113668,2565.5380995957166,0.05055247486888112,-367.7793,118.15461,33.285805,13.281766,5.6326885,9.430334,10.41908,4.4266973,-1.0970788,-1.3319045,-3.2139757,1.2365155,-6.639351,-4.1816626,-8.297488,-0.61932105,-1.4743574,-1.2456377,-4.599208,-5.3679295,addhatrital
0.25808424,0.079626456,1362.3912344074727,1965.7914031937014,2584.5470893673782,0.051264427264808364,-365.817,118.26991,33.996822,13.764002,4.512895,7.9320364,8.644476,3.2173529,-0.49906075,0.5256939,-0.8687328,1.2480367,-7.690268,-3.704031,-6.2448034,2.019508,-2.4902985,-4.2927194,-9.232875,-12.156666,addhatrital
0.25755483,0.077997655,1399.8198671324596,1998.9510901057201,2744.583055449695,0.050326995317944254,-366.49796,115.86722,31.98076,13.274615,5.77487,10.5121155,10.9444475,5.020407,1.0042336,0.8189565,-1.065442,-0.41124505,-8.721175,-2.7720191,-4.358545,1.9359692,-6.395734,-8.771301,-13.212064,-16.137346,addhatrital
0.2721588,0.07514562,1450.874151887695,2044.4534124247616,2918.9913236177886,0.051583670236013984,-370.26865,113.49115,32.05379,13.848491,6.5553703,11.381676,11.064774,6.095611,2.404598,1.942577,-1.6610732,-1.7038124,-8.019933,-0.6390448,-3.0823448,-0.9070364,-12.0733795,-14.003178,-16.40499,-12.927551,addhatrital
0.27051994,0.047219217,2239.8914268534286,2594.6847192892574,4905.905490451389,0.08887579916225749,-407.23132,86.60684,34.107582,11.389685,5.7801538,5.9906235,5.533062,3.3998544,0.41069257,2.337509,0.36542147,2.9057522,-2.2921696,2.030612,-1.7020414,0.31536233,-6.586151,-8.347425,-11.056252,-11.648588,addhatrital
